2	0.37278744	0.231507703	624
3	0.510860928	0.431871595	416
4	0.635389084	0.679093985	312
5	0.798113404	0.967364002	249
6	0.918724704	1.291991949	208
7	1.049385967	1.648620368	178
8	1.535061197	2.034759248	156
9	1.431717493	2.445251223	138
10	1.828449083	2.879530317	124
11	2.232183063	3.334338172	113
12	2.453689405	3.807068036	104
13	2.910731891	4.297030069	96
14	2.92958199	4.802618576	89
15	2.178956544	5.323974262	83
16	2.287794651	5.859024677	78
17	2.627394159	6.397671712	73
18	4.011463505	6.954881011	69
19	4.685091574	7.516506185	65
20	2.866095582	8.097132004	62
