2	0.051810068	0.008549824	6250
3	0.06652386	0.012811743	4166
4	0.079912947	0.017047399	3124
5	0.093456275	0.021279219	2499
6	0.10773932	0.025515624	2083
7	0.137912188	0.029726529	1785
8	0.132802646	0.033925418	1562
9	0.160621078	0.038112436	1388
10	0.161128049	0.042265452	1249
11	0.171424064	0.04645801	1136
12	0.183623235	0.050611414	1041
13	0.191409211	0.054755844	961
14	0.213046375	0.058891955	892
15	0.216209578	0.063016724	833
16	0.229315496	0.067125827	781
17	0.238258599	0.071229262	735
18	0.247976195	0.075323381	694
19	0.252394378	0.079396789	657
20	0.271263488	0.083427596	624
