10	0.987787244	1.027832864	2
15	0.963996308	1.038434439	3
20	0.994082562	1.044380742	5
25	0.968778663	1.039038146	9
30	0.995072915	1.039472638	13
35	1.048222197	1.051391949	18
40	1.007557423	1.043477665	24
45	0.986056002	1.035160458	30
50	0.961092783	0.999245308	37
55	0.909042775	0.946105305	46
60	0.891891022	0.89697368	54
65	0.900512643	0.857936418	64
70	0.968297075	0.81079585	74
75	0.904982163	0.763339703	86
80	0.903668428	0.724468553	98
85	0.833647547	0.679967486	110
90	0.851187443	0.644303579	124
95	0.883441776	0.607790325	138
100	0.871722478	0.573544662	153
105	0.809049753	0.540708547	169
110	0.851612779	0.511036474	186
115	0.744388671	0.484811046	204
120	0.830528345	0.45887667	222
125	0.842884702	0.43513145	241
130	0.758355519	0.411792693	261
135	0.748695826	0.38883708	281
140	0.767173676	0.370952315	303
145	0.689744789	0.351968319	325
150	0.694837352	0.334482681	348
155	0.667163044	0.317757789	371
160	0.664291616	0.303133749	396
165	0.660801529	0.28888205	421
170	0.648076743	0.275791504	447
175	0.672600142	0.26454109	474
180	0.640305062	0.252320101	502
185	0.580476547	0.240416522	530
190	0.647048304	0.230643309	559
195	0.59088519	0.22046615	589
200	0.587440408	0.211227473	620
220	0.512584028	0.179638612	751
240	0.464936282	0.154368666	894
260	0.400966453	0.133645035	1050
280	0.38871362	0.116836533	1218
300	0.352347186	0.102954137	1399
320	0.32369762	0.091292195	1592
340	0.29762265	0.081507392	1798
360	0.310089314	0.073166876	2016
380	0.295197058	0.066017406	2247
400	0.274028004	0.059869263	2490
500	0.208012105	0.038917189	3894
600	0.176052265	0.027261971	5611
700	0.12780624	0.02013449	7640
800	0.119905751	0.015465063	9981
