50	1.034020492	1.038343176	1
100	1.119535028	1.073689251	1
300	1.120622193	1.21390116	2
350	1.114007885	1.246706204	2
400	1.381282691	1.150579731	3
450	1.105416269	1.223603503	3
500	1.013375954	1.19943925	3
550	1.084390952	1.171003974	4
800	1.35581758	0.978930703	6
1200	1.316912832	0.851844002	9
1600	1.30715894	0.753963043	12
2000	1.301950906	0.676257782	15
2400	1.243649885	0.613072992	18
2800	1.237204761	0.560686384	21
3200	1.192279615	0.51654778	25
3600	1.137448455	0.478851424	28
4000	1.216504426	0.446282827	31
4400	1.126130249	0.417862341	34
4800	1.009525583	0.392844924	37
6000	0.965491484	0.333023291	46
8000	0.910712702	0.265622418	62
10000	0.914634501	0.220909141	78
12000	0.646219882	0.189080473	93
14000	0.770364287	0.165268525	109
16000	0.706331625	0.146783295	125
18000	0.654358279	0.132017212	140
20000	0.482249222	0.119950456	156
22000	0.526748635	0.109904835	171
24000	0.496866228	0.101411791	187
26000	0.316476924	0.094137212	203
28000	0.291439996	0.087836435	218
30000	0.3015118	0.082326191	234
32000	0.349561177	0.077466485	250
34000	0.295477823	0.073148536	265
36000	0.287180982	0.069286533	281
38000	0.314982632	0.065811882	296
40000	0.311379055	0.062669089	312
